operation,size_label,n,media,desv_std,minimo,maximo
Cifrado AES-256-GCM,1 MB,10,226.739,39.807,166.083,278.592
Cifrado AES-256-GCM,10 KB,10,81.856,4.814,69.497,88.328
Cifrado AES-256-GCM,100 KB,10,168.348,73.988,82.602,236.327
Descifrado AES-256-GCM,1 MB,10,216.584,31.461,186.067,258.9
Descifrado AES-256-GCM,10 KB,10,83.142,3.972,73.616,87.414
Descifrado AES-256-GCM,100 KB,10,184.456,67.117,84.534,238.34
Emision de certificado,n/a,5,544.64,140.652,343.56,705.075
Firma RSA-PSS,1 MB,10,223.952,9.074,212.979,241.598
Firma RSA-PSS,10 KB,10,40.125,1.425,38.654,42.597
Firma RSA-PSS,100 KB,10,130.749,54.717,84.19,210.966
Generacion de claves RSA-2048,n/a,5,401.523,80.449,277.22,491.741
Hash SHA-256,1 MB,30,1.44,0.268,0.691,1.756
Hash SHA-256,10 KB,30,0.007,0.004,0.006,0.026
Hash SHA-256,100 KB,30,0.068,0.004,0.066,0.088
Hash de contrasena (bcrypt),n/a,10,562.481,36.71,530.484,650.24
Validacion de certificado,n/a,20,191.446,47.573,88.45,226.564
Verificacion de contrasena,n/a,10,554.273,19.618,532.019,590.608
Verificacion de firma,1 MB,10,1.563,0.21,1.372,1.912
Verificacion de firma,10 KB,10,0.121,0.028,0.092,0.182
Verificacion de firma,100 KB,10,0.363,0.104,0.178,0.548
