operation,size_label,size_bytes,run,duration_ms
Hash SHA-256,10 KB,10240,0,0.0262
Hash SHA-256,10 KB,10240,1,0.0069
Hash SHA-256,10 KB,10240,2,0.0065
Hash SHA-256,10 KB,10240,3,0.0065
Hash SHA-256,10 KB,10240,4,0.0065
Hash SHA-256,10 KB,10240,5,0.0065
Hash SHA-256,10 KB,10240,6,0.0065
Hash SHA-256,10 KB,10240,7,0.0073
Hash SHA-256,10 KB,10240,8,0.0066
Hash SHA-256,10 KB,10240,9,0.0065
Hash SHA-256,10 KB,10240,10,0.0064
Hash SHA-256,10 KB,10240,11,0.0064
Hash SHA-256,10 KB,10240,12,0.0064
Hash SHA-256,10 KB,10240,13,0.0064
Hash SHA-256,10 KB,10240,14,0.0064
Hash SHA-256,10 KB,10240,15,0.0064
Hash SHA-256,10 KB,10240,16,0.0063
Hash SHA-256,10 KB,10240,17,0.0064
Hash SHA-256,10 KB,10240,18,0.0065
Hash SHA-256,10 KB,10240,19,0.0064
Hash SHA-256,10 KB,10240,20,0.0063
Hash SHA-256,10 KB,10240,21,0.0064
Hash SHA-256,10 KB,10240,22,0.0064
Hash SHA-256,10 KB,10240,23,0.0064
Hash SHA-256,10 KB,10240,24,0.0064
Hash SHA-256,10 KB,10240,25,0.0064
Hash SHA-256,10 KB,10240,26,0.0064
Hash SHA-256,10 KB,10240,27,0.0064
Hash SHA-256,10 KB,10240,28,0.0064
Hash SHA-256,10 KB,10240,29,0.0064
Cifrado AES-256-GCM,10 KB,10240,0,69.497
Descifrado AES-256-GCM,10 KB,10240,0,73.6165
Cifrado AES-256-GCM,10 KB,10240,1,84.2824
Descifrado AES-256-GCM,10 KB,10240,1,81.6446
Cifrado AES-256-GCM,10 KB,10240,2,82.8896
Descifrado AES-256-GCM,10 KB,10240,2,84.6258
Cifrado AES-256-GCM,10 KB,10240,3,81.0954
Descifrado AES-256-GCM,10 KB,10240,3,86.3317
Cifrado AES-256-GCM,10 KB,10240,4,83.2005
Descifrado AES-256-GCM,10 KB,10240,4,86.8427
Cifrado AES-256-GCM,10 KB,10240,5,81.4428
Descifrado AES-256-GCM,10 KB,10240,5,83.4653
Cifrado AES-256-GCM,10 KB,10240,6,82.7506
Descifrado AES-256-GCM,10 KB,10240,6,87.4138
Cifrado AES-256-GCM,10 KB,10240,7,83.6979
Descifrado AES-256-GCM,10 KB,10240,7,82.1223
Cifrado AES-256-GCM,10 KB,10240,8,81.3783
Descifrado AES-256-GCM,10 KB,10240,8,83.926
Cifrado AES-256-GCM,10 KB,10240,9,88.3276
Descifrado AES-256-GCM,10 KB,10240,9,81.4339
Firma RSA-PSS,10 KB,10240,0,41.0678
Verificacion de firma,10 KB,10240,0,0.1306
Firma RSA-PSS,10 KB,10240,1,42.5969
Verificacion de firma,10 KB,10240,1,0.1057
Firma RSA-PSS,10 KB,10240,2,42.4638
Verificacion de firma,10 KB,10240,2,0.1497
Firma RSA-PSS,10 KB,10240,3,39.4491
Verificacion de firma,10 KB,10240,3,0.0981
Firma RSA-PSS,10 KB,10240,4,39.3762
Verificacion de firma,10 KB,10240,4,0.1818
Firma RSA-PSS,10 KB,10240,5,39.7485
Verificacion de firma,10 KB,10240,5,0.1177
